Episode: 106, step: 9, Pop: 6/5, Epsilon: 0.67, Mean Loss: 42.64, Median Loss: 42.64, Std Loss: 42.64, Mean Reward: -0.11, Median Reward: 0.95, Std Reward: -5.50
Episode: 107, step: 9, Pop: 10/5, Epsilon: 0.67, Mean Loss: 40.95, Median Loss: 40.95, Std Loss: 40.95, Mean Reward: -2.58, Median Reward: 0.95, Std Reward: -129.00
Episode: 108, step: 9, Pop: 6/5, Epsilon: 0.66, Mean Loss: 35.60, Median Loss: 35.60, Std Loss: 35.60, Mean Reward: 0.67, Median Reward: 0.95, Std Reward: 33.40
Episode: 109, step: 9, Pop: 6/5, Epsilon: 0.66, Mean Loss: 47.05, Median Loss: 47.05, Std Loss: 47.05, Mean Reward: -0.97, Median Reward: 0.95, Std Reward: -48.50
Episode: 110, step: 9, Pop: 8/5, Epsilon: 0.66, Mean Loss: 25.46, Median Loss: 25.46, Std Loss: 25.46, Mean Reward: -1.53, Median Reward: 0.70, Std Reward: -76.50
Episode: 111, step: 9, Pop: 8/5, Epsilon: 0.66, Mean Loss: 52.16, Median Loss: 52.16, Std Loss: 52.16, Mean Reward: -1.19, Median Reward: 0.95, Std Reward: -59.50
Episode: 112, step: 9, Pop: 9/5, Epsilon: 0.65, Mean Loss: 28.87, Median Loss: 28.87, Std Loss: 28.87, Mean Reward: -2.51, Median Reward: 0.45, Std Reward: -125.70
Episode: 113, step: 9, Pop: 8/5, Epsilon: 0.65, Mean Loss: 53.62, Median Loss: 53.62, Std Loss: 53.62, Mean Reward: -2.86, Median Reward: -0.05, Std Reward: -143.10
Episode: 114, step: 9, Pop: 10/5, Epsilon: 0.65, Mean Loss: 27.27, Median Loss: 27.27, Std Loss: 27.27, Mean Reward: -0.78, Median Reward: 0.95, Std Reward: -38.90
Episode: 115, step: 9, Pop: 4/5, Epsilon: 0.65, Mean Loss: 42.80, Median Loss: 42.80, Std Loss: 42.80, Mean Reward: 0.87, Median Reward: 0.95, Std Reward: 43.50
Episode: 116, step: 9, Pop: 7/5, Epsilon: 0.64, Mean Loss: 38.98, Median Loss: 38.98, Std Loss: 38.98, Mean Reward: 0.07, Median Reward: 0.95, Std Reward: 3.30
Episode: 117, step: 9, Pop: 8/5, Epsilon: 0.64, Mean Loss: 32.63, Median Loss: 32.63, Std Loss: 32.63, Mean Reward: -2.43, Median Reward: 0.45, Std Reward: -121.50
Episode: 118, step: 9, Pop: 6/5, Epsilon: 0.64, Mean Loss: 33.87, Median Loss: 33.87, Std Loss: 33.87, Mean Reward: -0.23, Median Reward: 0.70, Std Reward: -11.50
Episode: 119, step: 9, Pop: 7/5, Epsilon: 0.64, Mean Loss: 42.35, Median Loss: 42.35, Std Loss: 42.35, Mean Reward: -0.20, Median Reward: 0.45, Std Reward: -10.00
Episode: 120, step: 9, Pop: 6/5, Epsilon: 0.63, Mean Loss: 52.87, Median Loss: 52.87, Std Loss: 52.87, Mean Reward: -0.20, Median Reward: 0.95, Std Reward: -10.00
