Episode: 116, step: 9, Pop: 6/5, Epsilon: 0.64, Mean Loss: 58.49, Median Loss: 58.49, Std Loss: 58.49, Mean Reward: 0.52, Median Reward: 1.45, Std Reward: 26.00
Episode: 117, step: 9, Pop: 7/5, Epsilon: 0.64, Mean Loss: 34.49, Median Loss: 34.49, Std Loss: 34.49, Mean Reward: -0.21, Median Reward: 0.95, Std Reward: -10.50
Episode: 118, step: 9, Pop: 5/5, Epsilon: 0.64, Mean Loss: 79.60, Median Loss: 79.60, Std Loss: 79.60, Mean Reward: 1.78, Median Reward: 1.95, Std Reward: 89.00
Episode: 119, step: 9, Pop: 9/5, Epsilon: 0.64, Mean Loss: 31.13, Median Loss: 31.13, Std Loss: 31.13, Mean Reward: -2.43, Median Reward: -0.05, Std Reward: -121.70
Episode: 120, step: 9, Pop: 7/5, Epsilon: 0.63, Mean Loss: 69.92, Median Loss: 69.92, Std Loss: 69.92, Mean Reward: -1.05, Median Reward: 0.95, Std Reward: -52.50
Episode: 121, step: 9, Pop: 9/5, Epsilon: 0.63, Mean Loss: 45.31, Median Loss: 45.31, Std Loss: 45.31, Mean Reward: -2.68, Median Reward: 0.45, Std Reward: -134.00
Episode: 122, step: 9, Pop: 4/5, Epsilon: 0.63, Mean Loss: 37.40, Median Loss: 37.40, Std Loss: 37.40, Mean Reward: 2.21, Median Reward: 1.45, Std Reward: 110.50
Episode: 123, step: 9, Pop: 6/5, Epsilon: 0.63, Mean Loss: 51.37, Median Loss: 51.37, Std Loss: 51.37, Mean Reward: -0.05, Median Reward: 0.95, Std Reward: -2.50
Episode: 124, step: 9, Pop: 8/5, Epsilon: 0.63, Mean Loss: 44.07, Median Loss: 44.07, Std Loss: 44.07, Mean Reward: -1.82, Median Reward: 0.95, Std Reward: -91.00
Episode: 125, step: 9, Pop: 9/5, Epsilon: 0.62, Mean Loss: 30.58, Median Loss: 30.58, Std Loss: 30.58, Mean Reward: -1.28, Median Reward: 0.45, Std Reward: -63.80
Episode: 126, step: 9, Pop: 8/5, Epsilon: 0.62, Mean Loss: 33.39, Median Loss: 33.39, Std Loss: 33.39, Mean Reward: -2.08, Median Reward: 0.25, Std Reward: -103.90
Episode: 127, step: 9, Pop: 8/5, Epsilon: 0.62, Mean Loss: 35.59, Median Loss: 35.59, Std Loss: 35.59, Mean Reward: -0.81, Median Reward: 0.95, Std Reward: -40.70
Episode: 128, step: 9, Pop: 6/5, Epsilon: 0.62, Mean Loss: 29.95, Median Loss: 29.95, Std Loss: 29.95, Mean Reward: -0.12, Median Reward: 0.95, Std Reward: -6.00
Episode: 129, step: 9, Pop: 7/5, Epsilon: 0.61, Mean Loss: 42.62, Median Loss: 42.62, Std Loss: 42.62, Mean Reward: -0.28, Median Reward: 0.45, Std Reward: -13.80
Episode: 130, step: 9, Pop: 6/5, Epsilon: 0.61, Mean Loss: 25.75, Median Loss: 25.75, Std Loss: 25.75, Mean Reward: -0.53, Median Reward: 0.95, Std Reward: -26.50
Episode: 131, step: 9, Pop: 7/5, Epsilon: 0.61, Mean Loss: 69.32, Median Loss: 69.32, Std Loss: 69.32, Mean Reward: -0.26, Median Reward: 0.45, Std Reward: -13.10
Episode: 132, step: 9, Pop: 5/5, Epsilon: 0.61, Mean Loss: 36.51, Median Loss: 36.51, Std Loss: 36.51, Mean Reward: 1.00, Median Reward: 0.95, Std Reward: 50.00
Episode: 133, step: 9, Pop: 7/5, Epsilon: 0.60, Mean Loss: 52.15, Median Loss: 52.15, Std Loss: 52.15, Mean Reward: 0.33, Median Reward: 0.95, Std Reward: 16.50
Episode: 134, step: 9, Pop: 8/5, Epsilon: 0.60, Mean Loss: 65.40, Median Loss: 65.40, Std Loss: 65.40, Mean Reward: -0.37, Median Reward: 0.95, Std Reward: -18.50
Episode: 135, step: 9, Pop: 7/5, Epsilon: 0.60, Mean Loss: 65.88, Median Loss: 65.88, Std Loss: 65.88, Mean Reward: 1.40, Median Reward: 0.95, Std Reward: 70.00
Episode: 136, step: 9, Pop: 9/5, Epsilon: 0.60, Mean Loss: 43.10, Median Loss: 43.10, Std Loss: 43.10, Mean Reward: -1.42, Median Reward: 0.95, Std Reward: -71.00
Episode: 137, step: 9, Pop: 6/5, Epsilon: 0.60, Mean Loss: 48.52, Median Loss: 48.52, Std Loss: 48.52, Mean Reward: 0.71, Median Reward: 0.95, Std Reward: 35.60
Episode: 138, step: 9, Pop: 5/5, Epsilon: 0.59, Mean Loss: 25.39, Median Loss: 25.39, Std Loss: 25.39, Mean Reward: 0.04, Median Reward: 0.95, Std Reward: 2.00
