Episode: 69, step: 9, Pop: 9/5, Epsilon: 0.77, Mean Loss: 59.08, Median Loss: 59.08, Std Loss: 59.08, Mean Reward: -1.10, Median Reward: 0.45, Std Reward: -55.10
Episode: 70, step: 9, Pop: 5/5, Epsilon: 0.77, Mean Loss: 40.00, Median Loss: 40.00, Std Loss: 40.00, Mean Reward: -1.03, Median Reward: 0.70, Std Reward: -51.60
Episode: 71, step: 9, Pop: 8/5, Epsilon: 0.76, Mean Loss: 44.85, Median Loss: 44.85, Std Loss: 44.85, Mean Reward: -0.58, Median Reward: 0.95, Std Reward: -29.00
Episode: 72, step: 9, Pop: 7/5, Epsilon: 0.76, Mean Loss: 47.06, Median Loss: 47.06, Std Loss: 47.06, Mean Reward: -0.16, Median Reward: 0.95, Std Reward: -8.00
Episode: 73, step: 9, Pop: 6/5, Epsilon: 0.76, Mean Loss: 49.00, Median Loss: 49.00, Std Loss: 49.00, Mean Reward: 0.20, Median Reward: 0.45, Std Reward: 10.00
Episode: 74, step: 9, Pop: 6/5, Epsilon: 0.76, Mean Loss: 37.39, Median Loss: 37.39, Std Loss: 37.39, Mean Reward: 0.48, Median Reward: 0.95, Std Reward: 24.10
Episode: 75, step: 9, Pop: 6/5, Epsilon: 0.75, Mean Loss: 45.61, Median Loss: 45.61, Std Loss: 45.61, Mean Reward: -0.52, Median Reward: 0.95, Std Reward: -26.00
Episode: 76, step: 9, Pop: 7/5, Epsilon: 0.75, Mean Loss: 40.40, Median Loss: 40.40, Std Loss: 40.40, Mean Reward: -2.27, Median Reward: 0.45, Std Reward: -113.70
Episode: 77, step: 9, Pop: 8/5, Epsilon: 0.75, Mean Loss: 56.52, Median Loss: 56.52, Std Loss: 56.52, Mean Reward: -1.09, Median Reward: 0.95, Std Reward: -54.50
Episode: 78, step: 9, Pop: 9/5, Epsilon: 0.74, Mean Loss: 47.18, Median Loss: 47.18, Std Loss: 47.18, Mean Reward: -0.72, Median Reward: 0.95, Std Reward: -36.00
Episode: 79, step: 9, Pop: 8/5, Epsilon: 0.74, Mean Loss: 35.31, Median Loss: 35.31, Std Loss: 35.31, Mean Reward: -0.33, Median Reward: 0.95, Std Reward: -16.40
Episode: 80, step: 9, Pop: 7/5, Epsilon: 0.74, Mean Loss: 33.51, Median Loss: 33.51, Std Loss: 33.51, Mean Reward: 1.44, Median Reward: 0.95, Std Reward: 72.00
Episode: 81, step: 9, Pop: 5/5, Epsilon: 0.74, Mean Loss: 31.47, Median Loss: 31.47, Std Loss: 31.47, Mean Reward: 0.75, Median Reward: 0.95, Std Reward: 37.50
Episode: 82, step: 9, Pop: 7/5, Epsilon: 0.73, Mean Loss: 36.87, Median Loss: 36.87, Std Loss: 36.87, Mean Reward: -2.02, Median Reward: 0.35, Std Reward: -101.00
Episode: 83, step: 9, Pop: 6/5, Epsilon: 0.73, Mean Loss: 19.68, Median Loss: 19.68, Std Loss: 19.68, Mean Reward: -0.40, Median Reward: 0.95, Std Reward: -20.00
Episode: 84, step: 9, Pop: 7/5, Epsilon: 0.73, Mean Loss: 48.71, Median Loss: 48.71, Std Loss: 48.71, Mean Reward: 0.84, Median Reward: 0.95, Std Reward: 42.00
Episode: 85, step: 9, Pop: 7/5, Epsilon: 0.72, Mean Loss: 22.36, Median Loss: 22.36, Std Loss: 22.36, Mean Reward: 0.60, Median Reward: 1.95, Std Reward: 30.00
Episode: 86, step: 9, Pop: 9/5, Epsilon: 0.72, Mean Loss: 26.27, Median Loss: 26.27, Std Loss: 26.27, Mean Reward: -1.37, Median Reward: 0.95, Std Reward: -68.50
Episode: 87, step: 9, Pop: 6/5, Epsilon: 0.72, Mean Loss: 49.23, Median Loss: 49.23, Std Loss: 49.23, Mean Reward: 1.27, Median Reward: 0.95, Std Reward: 63.50
Episode: 88, step: 9, Pop: 7/5, Epsilon: 0.72, Mean Loss: 29.46, Median Loss: 29.46, Std Loss: 29.46, Mean Reward: -0.69, Median Reward: 0.45, Std Reward: -34.50
Episode: 89, step: 9, Pop: 5/5, Epsilon: 0.71, Mean Loss: 25.43, Median Loss: 25.43, Std Loss: 25.43, Mean Reward: 1.10, Median Reward: 0.95, Std Reward: 55.00
Episode: 90, step: 9, Pop: 9/5, Epsilon: 0.71, Mean Loss: 49.18, Median Loss: 49.18, Std Loss: 49.18, Mean Reward: -1.03, Median Reward: 0.95, Std Reward: -51.50
Episode: 91, step: 9, Pop: 9/5, Epsilon: 0.71, Mean Loss: 17.32, Median Loss: 17.32, Std Loss: 17.32, Mean Reward: -1.40, Median Reward: 0.95, Std Reward: -70.00
Episode: 92, step: 9, Pop: 9/5, Epsilon: 0.71, Mean Loss: 35.69, Median Loss: 35.69, Std Loss: 35.69, Mean Reward: -0.97, Median Reward: 0.95, Std Reward: -48.50
Episode: 93, step: 9, Pop: 7/5, Epsilon: 0.70, Mean Loss: 49.63, Median Loss: 49.63, Std Loss: 49.63, Mean Reward: -1.75, Median Reward: 0.95, Std Reward: -87.50
Episode: 94, step: 9, Pop: 7/5, Epsilon: 0.70, Mean Loss: 47.97, Median Loss: 47.97, Std Loss: 47.97, Mean Reward: -0.44, Median Reward: 0.95, Std Reward: -21.80
Episode: 95, step: 9, Pop: 9/5, Epsilon: 0.70, Mean Loss: 47.59, Median Loss: 47.59, Std Loss: 47.59, Mean Reward: -1.98, Median Reward: 0.95, Std Reward: -99.00
Episode: 96, step: 9, Pop: 7/5, Epsilon: 0.69, Mean Loss: 36.33, Median Loss: 36.33, Std Loss: 36.33, Mean Reward: 0.52, Median Reward: 0.95, Std Reward: 26.20
Episode: 97, step: 9, Pop: 9/5, Epsilon: 0.69, Mean Loss: 16.92, Median Loss: 16.92, Std Loss: 16.92, Mean Reward: -0.67, Median Reward: 0.95, Std Reward: -33.50
Episode: 98, step: 9, Pop: 9/5, Epsilon: 0.69, Mean Loss: 29.08, Median Loss: 29.08, Std Loss: 29.08, Mean Reward: -0.80, Median Reward: 0.95, Std Reward: -40.00
Episode: 99, step: 9, Pop: 6/5, Epsilon: 0.69, Mean Loss: 32.03, Median Loss: 32.03, Std Loss: 32.03, Mean Reward: -0.69, Median Reward: 0.95, Std Reward: -34.50
Episode: 100, step: 9, Pop: 5/5, Epsilon: 0.68, Mean Loss: 24.05, Median Loss: 24.05, Std Loss: 24.05, Mean Reward: 0.71, Median Reward: 0.95, Std Reward: 35.50
Episode: 101, step: 9, Pop: 8/5, Epsilon: 0.68, Mean Loss: 16.80, Median Loss: 16.80, Std Loss: 16.80, Mean Reward: -1.85, Median Reward: 0.95, Std Reward: -92.50
Episode: 102, step: 9, Pop: 4/5, Epsilon: 0.68, Mean Loss: 39.43, Median Loss: 39.43, Std Loss: 39.43, Mean Reward: 2.42, Median Reward: 1.95, Std Reward: 120.80
Episode: 103, step: 9, Pop: 8/5, Epsilon: 0.68, Mean Loss: 23.48, Median Loss: 23.48, Std Loss: 23.48, Mean Reward: -1.84, Median Reward: 0.45, Std Reward: -92.20
Episode: 104, step: 9, Pop: 7/5, Epsilon: 0.67, Mean Loss: 45.86, Median Loss: 45.86, Std Loss: 45.86, Mean Reward: -1.20, Median Reward: 0.95, Std Reward: -60.20
Episode: 105, step: 9, Pop: 9/5, Epsilon: 0.67, Mean Loss: 18.21, Median Loss: 18.21, Std Loss: 18.21, Mean Reward: -0.69, Median Reward: 0.95, Std Reward: -34.50
Episode: 106, step: 9, Pop: 8/5, Epsilon: 0.67, Mean Loss: 27.21, Median Loss: 27.21, Std Loss: 27.21, Mean Reward: -0.67, Median Reward: 0.45, Std Reward: -33.30
Episode: 107, step: 9, Pop: 5/5, Epsilon: 0.67, Mean Loss: 27.37, Median Loss: 27.37, Std Loss: 27.37, Mean Reward: -0.67, Median Reward: 0.95, Std Reward: -33.60
Episode: 108, step: 9, Pop: 7/5, Epsilon: 0.66, Mean Loss: 18.36, Median Loss: 18.36, Std Loss: 18.36, Mean Reward: -0.02, Median Reward: 0.95, Std Reward: -1.20
Episode: 109, step: 9, Pop: 8/5, Epsilon: 0.66, Mean Loss: 55.75, Median Loss: 55.75, Std Loss: 55.75, Mean Reward: -0.96, Median Reward: 0.95, Std Reward: -48.10
Episode: 110, step: 9, Pop: 7/5, Epsilon: 0.66, Mean Loss: 45.11, Median Loss: 45.11, Std Loss: 45.11, Mean Reward: -2.45, Median Reward: 0.15, Std Reward: -122.30
Episode: 111, step: 9, Pop: 8/5, Epsilon: 0.66, Mean Loss: 42.74, Median Loss: 42.74, Std Loss: 42.74, Mean Reward: -0.94, Median Reward: 0.95, Std Reward: -47.00
Episode: 112, step: 9, Pop: 9/5, Epsilon: 0.65, Mean Loss: 21.39, Median Loss: 21.39, Std Loss: 21.39, Mean Reward: -1.63, Median Reward: 0.70, Std Reward: -81.50
Episode: 113, step: 9, Pop: 9/5, Epsilon: 0.65, Mean Loss: 33.93, Median Loss: 33.93, Std Loss: 33.93, Mean Reward: -2.72, Median Reward: 0.45, Std Reward: -136.00
Episode: 114, step: 9, Pop: 6/5, Epsilon: 0.65, Mean Loss: 18.17, Median Loss: 18.17, Std Loss: 18.17, Mean Reward: -0.52, Median Reward: 0.95, Std Reward: -26.20
Episode: 115, step: 9, Pop: 6/5, Epsilon: 0.65, Mean Loss: 27.14, Median Loss: 27.14, Std Loss: 27.14, Mean Reward: 0.91, Median Reward: 0.95, Std Reward: 45.50
Episode: 116, step: 9, Pop: 9/5, Epsilon: 0.64, Mean Loss: 30.22, Median Loss: 30.22, Std Loss: 30.22, Mean Reward: -2.14, Median Reward: 0.95, Std Reward: -107.00
Episode: 117, step: 9, Pop: 5/5, Epsilon: 0.64, Mean Loss: 24.97, Median Loss: 24.97, Std Loss: 24.97, Mean Reward: 0.64, Median Reward: 0.95, Std Reward: 31.80
Episode: 118, step: 9, Pop: 8/5, Epsilon: 0.64, Mean Loss: 43.25, Median Loss: 43.25, Std Loss: 43.25, Mean Reward: 0.78, Median Reward: 0.95, Std Reward: 39.20
Episode: 119, step: 9, Pop: 6/5, Epsilon: 0.64, Mean Loss: 35.90, Median Loss: 35.90, Std Loss: 35.90, Mean Reward: 0.71, Median Reward: 0.95, Std Reward: 35.50
Episode: 120, step: 9, Pop: 8/5, Epsilon: 0.63, Mean Loss: 19.13, Median Loss: 19.13, Std Loss: 19.13, Mean Reward: -0.39, Median Reward: 0.70, Std Reward: -19.50
Episode: 121, step: 9, Pop: 8/5, Epsilon: 0.63, Mean Loss: 38.18, Median Loss: 38.18, Std Loss: 38.18, Mean Reward: 1.26, Median Reward: 0.95, Std Reward: 63.10
Episode: 122, step: 9, Pop: 9/5, Epsilon: 0.63, Mean Loss: 28.94, Median Loss: 28.94, Std Loss: 28.94, Mean Reward: -1.37, Median Reward: 0.45, Std Reward: -68.40
Episode: 123, step: 9, Pop: 7/5, Epsilon: 0.63, Mean Loss: 45.58, Median Loss: 45.58, Std Loss: 45.58, Mean Reward: -0.46, Median Reward: 0.95, Std Reward: -23.20
Episode: 124, step: 9, Pop: 9/5, Epsilon: 0.63, Mean Loss: 26.08, Median Loss: 26.08, Std Loss: 26.08, Mean Reward: -1.31, Median Reward: 0.70, Std Reward: -65.50
Episode: 125, step: 9, Pop: 7/5, Epsilon: 0.62, Mean Loss: 35.46, Median Loss: 35.46, Std Loss: 35.46, Mean Reward: -1.74, Median Reward: 0.70, Std Reward: -87.00
Episode: 126, step: 9, Pop: 9/5, Epsilon: 0.62, Mean Loss: 32.34, Median Loss: 32.34, Std Loss: 32.34, Mean Reward: -1.11, Median Reward: 0.95, Std Reward: -55.50
Episode: 127, step: 9, Pop: 6/5, Epsilon: 0.62, Mean Loss: 24.70, Median Loss: 24.70, Std Loss: 24.70, Mean Reward: 1.00, Median Reward: 0.95, Std Reward: 49.90
Episode: 128, step: 9, Pop: 5/5, Epsilon: 0.62, Mean Loss: 28.17, Median Loss: 28.17, Std Loss: 28.17, Mean Reward: -0.24, Median Reward: 0.70, Std Reward: -12.20
Episode: 129, step: 9, Pop: 10/5, Epsilon: 0.61, Mean Loss: 22.23, Median Loss: 22.23, Std Loss: 22.23, Mean Reward: -2.32, Median Reward: 0.45, Std Reward: -116.20
Episode: 130, step: 9, Pop: 7/5, Epsilon: 0.61, Mean Loss: 29.46, Median Loss: 29.46, Std Loss: 29.46, Mean Reward: -0.90, Median Reward: 0.95, Std Reward: -44.90
Episode: 131, step: 9, Pop: 9/5, Epsilon: 0.61, Mean Loss: 20.73, Median Loss: 20.73, Std Loss: 20.73, Mean Reward: -1.36, Median Reward: 0.70, Std Reward: -68.00
Episode: 132, step: 9, Pop: 9/5, Epsilon: 0.61, Mean Loss: 33.38, Median Loss: 33.38, Std Loss: 33.38, Mean Reward: -1.61, Median Reward: 0.45, Std Reward: -80.70
Episode: 133, step: 9, Pop: 8/5, Epsilon: 0.60, Mean Loss: 28.53, Median Loss: 28.53, Std Loss: 28.53, Mean Reward: -1.13, Median Reward: 0.45, Std Reward: -56.60
Episode: 134, step: 9, Pop: 7/5, Epsilon: 0.60, Mean Loss: 29.76, Median Loss: 29.76, Std Loss: 29.76, Mean Reward: 0.29, Median Reward: 0.95, Std Reward: 14.50
Episode: 135, step: 9, Pop: 10/5, Epsilon: 0.60, Mean Loss: 8.31, Median Loss: 8.31, Std Loss: 8.31, Mean Reward: -2.60, Median Reward: 0.95, Std Reward: -129.90
Episode: 136, step: 9, Pop: 7/5, Epsilon: 0.60, Mean Loss: 25.38, Median Loss: 25.38, Std Loss: 25.38, Mean Reward: 0.32, Median Reward: 0.95, Std Reward: 16.00
Episode: 137, step: 9, Pop: 7/5, Epsilon: 0.60, Mean Loss: 27.20, Median Loss: 27.20, Std Loss: 27.20, Mean Reward: -2.06, Median Reward: 0.45, Std Reward: -103.00
Episode: 138, step: 9, Pop: 7/5, Epsilon: 0.59, Mean Loss: 27.30, Median Loss: 27.30, Std Loss: 27.30, Mean Reward: 0.52, Median Reward: 0.95, Std Reward: 26.20
