Episode: 99, step: 9, Pop: 6/5, Epsilon: 0.69, Mean Loss: 59.81, Median Loss: 59.81, Std Loss: 59.81, Mean Reward: 1.46, Median Reward: 2.00, Std Reward: 112.20
Episode: 100, step: 9, Pop: 5/5, Epsilon: 0.68, Mean Loss: 29.94, Median Loss: 29.94, Std Loss: 29.94, Mean Reward: -0.27, Median Reward: 0.00, Std Reward: -20.30
Episode: 101, step: 9, Pop: 8/5, Epsilon: 0.68, Mean Loss: 51.81, Median Loss: 51.81, Std Loss: 51.81, Mean Reward: -0.90, Median Reward: 2.00, Std Reward: -83.30
Episode: 102, step: 9, Pop: 4/5, Epsilon: 0.68, Mean Loss: 51.41, Median Loss: 51.41, Std Loss: 51.41, Mean Reward: -0.46, Median Reward: 0.00, Std Reward: -33.00
Episode: 103, step: 9, Pop: 8/5, Epsilon: 0.68, Mean Loss: 38.05, Median Loss: 38.05, Std Loss: 38.05, Mean Reward: 1.52, Median Reward: 2.00, Std Reward: 146.30
Episode: 104, step: 9, Pop: 7/5, Epsilon: 0.67, Mean Loss: 34.18, Median Loss: 34.18, Std Loss: 34.18, Mean Reward: -0.09, Median Reward: 1.00, Std Reward: -7.00
Episode: 105, step: 9, Pop: 9/5, Epsilon: 0.67, Mean Loss: 50.23, Median Loss: 50.23, Std Loss: 50.23, Mean Reward: 0.09, Median Reward: 2.00, Std Reward: 8.30
Episode: 106, step: 9, Pop: 8/5, Epsilon: 0.67, Mean Loss: 46.11, Median Loss: 46.11, Std Loss: 46.11, Mean Reward: 2.07, Median Reward: 2.00, Std Reward: 177.60
Episode: 107, step: 9, Pop: 5/5, Epsilon: 0.67, Mean Loss: 46.06, Median Loss: 46.06, Std Loss: 46.06, Mean Reward: 1.23, Median Reward: 2.00, Std Reward: 93.20
Episode: 108, step: 9, Pop: 7/5, Epsilon: 0.66, Mean Loss: 45.35, Median Loss: 45.35, Std Loss: 45.35, Mean Reward: 1.06, Median Reward: 0.00, Std Reward: 83.50
Episode: 109, step: 9, Pop: 8/5, Epsilon: 0.66, Mean Loss: 61.63, Median Loss: 61.63, Std Loss: 61.63, Mean Reward: 0.96, Median Reward: 2.00, Std Reward: 90.20
Episode: 110, step: 9, Pop: 7/5, Epsilon: 0.66, Mean Loss: 63.90, Median Loss: 63.90, Std Loss: 63.90, Mean Reward: 1.47, Median Reward: 2.00, Std Reward: 125.30
Episode: 111, step: 9, Pop: 8/5, Epsilon: 0.66, Mean Loss: 53.18, Median Loss: 53.18, Std Loss: 53.18, Mean Reward: -0.49, Median Reward: 0.00, Std Reward: -43.00
Episode: 112, step: 9, Pop: 9/5, Epsilon: 0.65, Mean Loss: 61.47, Median Loss: 61.47, Std Loss: 61.47, Mean Reward: 0.97, Median Reward: 2.00, Std Reward: 89.20
Episode: 113, step: 9, Pop: 9/5, Epsilon: 0.65, Mean Loss: 85.78, Median Loss: 85.78, Std Loss: 85.78, Mean Reward: -2.29, Median Reward: 0.00, Std Reward: -211.00
Episode: 114, step: 9, Pop: 6/5, Epsilon: 0.65, Mean Loss: 63.60, Median Loss: 63.60, Std Loss: 63.60, Mean Reward: -0.15, Median Reward: 2.00, Std Reward: -11.70
Episode: 115, step: 9, Pop: 6/5, Epsilon: 0.65, Mean Loss: 62.53, Median Loss: 62.53, Std Loss: 62.53, Mean Reward: -1.96, Median Reward: 0.00, Std Reward: -151.30
Episode: 116, step: 9, Pop: 9/5, Epsilon: 0.64, Mean Loss: 42.24, Median Loss: 42.24, Std Loss: 42.24, Mean Reward: 2.88, Median Reward: 2.00, Std Reward: 262.10
Episode: 117, step: 9, Pop: 5/5, Epsilon: 0.64, Mean Loss: 59.45, Median Loss: 59.45, Std Loss: 59.45, Mean Reward: -1.33, Median Reward: 0.00, Std Reward: -113.30
Episode: 118, step: 9, Pop: 8/5, Epsilon: 0.64, Mean Loss: 58.03, Median Loss: 58.03, Std Loss: 58.03, Mean Reward: 2.34, Median Reward: 2.00, Std Reward: 194.50
Episode: 119, step: 9, Pop: 6/5, Epsilon: 0.64, Mean Loss: 35.34, Median Loss: 35.34, Std Loss: 35.34, Mean Reward: 0.09, Median Reward: 0.00, Std Reward: 7.60
Episode: 120, step: 9, Pop: 8/5, Epsilon: 0.63, Mean Loss: 64.92, Median Loss: 64.92, Std Loss: 64.92, Mean Reward: -0.18, Median Reward: 0.00, Std Reward: -15.00
Episode: 121, step: 9, Pop: 8/5, Epsilon: 0.63, Mean Loss: 59.28, Median Loss: 59.28, Std Loss: 59.28, Mean Reward: 0.28, Median Reward: 0.00, Std Reward: 22.90
Episode: 122, step: 9, Pop: 9/5, Epsilon: 0.63, Mean Loss: 60.26, Median Loss: 60.26, Std Loss: 60.26, Mean Reward: 0.37, Median Reward: 2.00, Std Reward: 35.50
Episode: 123, step: 9, Pop: 7/5, Epsilon: 0.63, Mean Loss: 73.89, Median Loss: 73.89, Std Loss: 73.89, Mean Reward: -0.74, Median Reward: 0.00, Std Reward: -57.40
Episode: 124, step: 9, Pop: 9/5, Epsilon: 0.63, Mean Loss: 54.66, Median Loss: 54.66, Std Loss: 54.66, Mean Reward: 0.36, Median Reward: 1.00, Std Reward: 33.50
Episode: 125, step: 9, Pop: 7/5, Epsilon: 0.62, Mean Loss: 67.22, Median Loss: 67.22, Std Loss: 67.22, Mean Reward: -0.72, Median Reward: 0.00, Std Reward: -62.80
Episode: 126, step: 9, Pop: 9/5, Epsilon: 0.62, Mean Loss: 48.59, Median Loss: 48.59, Std Loss: 48.59, Mean Reward: -2.31, Median Reward: 0.00, Std Reward: -208.00
Episode: 127, step: 9, Pop: 6/5, Epsilon: 0.62, Mean Loss: 44.17, Median Loss: 44.17, Std Loss: 44.17, Mean Reward: 0.71, Median Reward: 2.00, Std Reward: 54.30
Episode: 128, step: 9, Pop: 5/5, Epsilon: 0.62, Mean Loss: 56.07, Median Loss: 56.07, Std Loss: 56.07, Mean Reward: -0.02, Median Reward: 0.00, Std Reward: -1.20
Episode: 129, step: 9, Pop: 10/5, Epsilon: 0.61, Mean Loss: 79.07, Median Loss: 79.07, Std Loss: 79.07, Mean Reward: 2.65, Median Reward: 2.00, Std Reward: 265.20
Episode: 130, step: 9, Pop: 7/5, Epsilon: 0.61, Mean Loss: 40.15, Median Loss: 40.15, Std Loss: 40.15, Mean Reward: -1.87, Median Reward: 0.00, Std Reward: -163.00
Episode: 131, step: 9, Pop: 9/5, Epsilon: 0.61, Mean Loss: 36.75, Median Loss: 36.75, Std Loss: 36.75, Mean Reward: 0.08, Median Reward: 0.00, Std Reward: 7.60
Episode: 132, step: 9, Pop: 9/5, Epsilon: 0.61, Mean Loss: 48.89, Median Loss: 48.89, Std Loss: 48.89, Mean Reward: 0.57, Median Reward: 1.00, Std Reward: 54.50
Episode: 133, step: 9, Pop: 8/5, Epsilon: 0.60, Mean Loss: 59.64, Median Loss: 59.64, Std Loss: 59.64, Mean Reward: 0.56, Median Reward: 2.00, Std Reward: 50.30
Episode: 134, step: 9, Pop: 7/5, Epsilon: 0.60, Mean Loss: 59.21, Median Loss: 59.21, Std Loss: 59.21, Mean Reward: 2.25, Median Reward: 2.00, Std Reward: 200.30
Episode: 135, step: 9, Pop: 10/5, Epsilon: 0.60, Mean Loss: 41.68, Median Loss: 41.68, Std Loss: 41.68, Mean Reward: 0.55, Median Reward: 2.00, Std Reward: 54.70
Episode: 136, step: 9, Pop: 7/5, Epsilon: 0.60, Mean Loss: 43.72, Median Loss: 43.72, Std Loss: 43.72, Mean Reward: 1.00, Median Reward: 2.00, Std Reward: 85.20
Episode: 137, step: 9, Pop: 7/5, Epsilon: 0.60, Mean Loss: 49.59, Median Loss: 49.59, Std Loss: 49.59, Mean Reward: 0.32, Median Reward: 2.00, Std Reward: 25.50
Episode: 138, step: 9, Pop: 7/5, Epsilon: 0.59, Mean Loss: 47.16, Median Loss: 47.16, Std Loss: 47.16, Mean Reward: 1.63, Median Reward: 2.00, Std Reward: 132.20
